tourism,name,addr_city
artwork,Louisiana Mud Painting Gallery,Baton Rouge
museum,Pentagon Barracks Museum,Baton Rouge
museum,West Baton Rouge Parish Museum,Port Allen
camp_site,Bogue Chitto SP - Bottomland,Franklinton
museum,Zachary Train Depot,Zachary
caravan_site,Paradise RV Park,Lake Charles
museum,Fireman's Museum,Opelousas
museum,Beauregard Museum,DeRidder
museum,Fort Polk Military Museum,Fort Polk
museum,John E Conner Museum,Kingsville
gallery,K Space Contemporary,Corpus Christi
information,Visitor Info Center,Corpus Christi
museum,Tejano Civil Rights Museum,Corpus Christi
museum,Museum Of Hispanic Culture,Corpus Christi
chalet,Surfside Cottages,Corpus Christi
museum,Texas Maritime Museum,Rockport
museum,Taft Blackland Museum,Taft
museum,Taft Blackland Museum,Taft
museum,Skidmore Historical Society Museum,Skidmore
museum,Refugio County Museum,Refugio
museum,Grace Armantrout Museum,George West
museum,McMullen County Historical Museum,Tilden
museum,Calhoun County Museum,Port Lavaca
museum,Freeport Historical Museum,Freeport
museum,Alden B. Dow Office Museum,Lake Jackson
artwork,Art Bench with Mosiac,LAKE JACKSON
museum,Columbia Historical Museum Association,West Columbia
museum,Brazoria County Historical Museum,Angleton
caravan_site,Southbound RV Park and Cabins,Victoria
museum,Nave Museum,Victoria
museum,Runge Museum,Runge
information,Eagle Pass CHamber of Commerce,Eagle Pass
picnic_site,Jando Guedea Park,Eagle Pass
museum,Frio Pioneer Jail Museum,Pearsall
museum,Briscoe-Garner Museum,Uvalde
chalet,Cabañas en Creel Cueva de los leones,Creel
museum,Eco-Museo de Sitio Tehuelibampo,Barrio Cantúa
museum,Galveston County Historical Museum,Galveston
information,Galveston Visitor Center,Galveston
museum,Galveston Railroad Museum,Galveston
museum,Wharton County Historical Museum,Wharton
museum,20th Century Technology Museum,Wharton
museum,Perry House,Friendswood
museum,Frank J. Brown Heritage Museum and Barn,Friendswood
museum,Baytown Historical Museum,Baytown
museum,Pasadena Historical Museum,Pasadena
museum,Museum of American Architecture and Decorative Arts,Houston
artwork,Sam Houston Monument,Houston
zoo,Cockrell Butterfly Center,Houston
artwork,Cancer...there is hope,Houston
museum,Houston Bicycle Museum,Houston
information,Kinder Foundation Education Center,Houston
museum,Houston Fire Museum,Houston
artwork,Open Channel Flow,Houston
museum,Mary Elizabeth Hopkins Santa Claus Museum,Columbus
camp_site,Hub City RV Park,Yoakum
chalet,Watchers,San Antonio
museum,"South Texas Museum of Popular Culture ""TexPop""",San Antonio
museum,Centro Cultural Aztlan Galeria Expresion,San Antonio
theme_park,Amazing Air,San Antonio
museum,The Heritage Society Museum of Weimar,Weimar
museum,Sebastopol House,Seguin
zoo,Gator Country Wildlife Adventure Park,Beaumont
museum,Art Car Museum,Houston
artwork,Arcadia,Houston
artwork,We Love Houston,Houston
museum,Houston Audubon Society Museum,Houston
museum,Katy Heritage Museum,Katy
theme_park,Track 21,Houston
theme_park,Bounce Bounce Trampoline Park,Cypress
museum,Lone Star Pinball Museum,Hockley
museum,The Woodlands Children's Museum,The Woodlands
caravan_site,Leisure Lane RV Resort Magnolia,Pinehurst
camp_site,Grizzly Pines - Gay Campground,Navasota
gallery,Back Lot Gallery,Brenham
museum,Fayette Heritage Museum and Archives,La Grange
museum,Dick's Classic Garage,San Marcos
attraction,Learning Tree,San Marcos
museum,LBJ Museum of San Marcos History,San Marcos
camp_site,Leisure Resort on the San Marco River,Fentress
attraction,Spring Lake Glass-Bottom Boat Tour,San Marcos
gallery,Spratx,Austin
artwork,Greetings from Austin mural,Austin
attraction,Statesman Bat Observation Center,Austin
gallery,The Contemporary Austin - Jones Center,Austin
museum,Texas Rangers Heritage Center,Fredericksburg
museum,Fort Clark Guardhouse,Brackettville
museum,Museo del Agua,Ciudad Acuña
museum,San Felipe Exes Student Memorial Center,Del Rio
attraction,The Cross at Kerrville,Kerrville
museum,Heritage Museum of Montgomery County,Conroe
caravan_site,Thousand Trails Lake Conroe RV & Camping Resort,Willis
museum,Children's Museum of Brazos Valley,Bryan
museum,H.E.A.R.T.S. Veterans Museum of Texas,Huntsville
attraction,Earth Art,Bryan
information,Round Rock Convention and Visitors Bureau,Round Rock
